anime_id,genre
1663,Adventure
1666,Adventure
1668,Action
1669,Action
1670,Action
1671,Action
1672,Comedy
1676,Action
1677,Adventure
1678,Action
1679,Comedy
1681,Action
1682,Drama
1683,Comedy
1686,Action
1689,Drama
1690,Drama
1691,Action
1694,Comedy
1696,Action
1698,Comedy
1699,Drama
1701,Comedy
1703,Action
1704,Action
1706,Action
1707,Comedy
1709,Action
1710,Action
1713,Action
1718,Drama
1719,Action
1720,Comedy
1721,Drama
1722,Comedy
1723,Drama
1724,Adventure
1726,Action
1727,Drama
1729,Drama
1731,Action
1732,Comedy
1733,Action
1734,Comedy
1735,Action
1736,Action
1737,Adventure
1738,Action
1742,Drama
1744,Adventure
1746,Adventure
1747,Action
1748,Comedy
1749,Comedy
1750,Comedy
1760,Action
1761,Action
1762,Action
1768,Adventure
1769,Action
1773,Action
1774,Action
1777,Action
1778,Adventure
1792,Adventure
1793,Action
1794,Action
1795,Action
1796,Action
1797,Comedy
1798,Comedy
1799,Action
1800,Action
1802,Action
1803,Action
1804,Slice of Life
1805,Action
1806,Action
1807,Action
1808,Comedy
1810,Drama
1815,Action
1816,Action
1817,Comedy
1818,Action
1822,Action
1823,Action
1824,Drama
1826,Adventure
1827,Action
1829,Adventure
1830,Action
1832,Drama
1835,Action
1836,Comedy
1837,Action
1839,Adventure
1840,Action
1844,Action
1846,Drama
1847,Comedy
1848,Adventure
1849,Adventure
1853,Action
1854,Action
1857,Drama
1860,Action
1862,Action
1864,Drama
1865,Action
1867,Adventure
1868,Adventure
1869,Comedy
1873,Action
1879,Action
1880,Action
1889,Horror
1891,Adventure
1892,Adventure
1893,Comedy
1894,Adventure
1897,Adventure
1898,Action
1900,Comedy
1901,Action
1902,Comedy
1903,Action
1904,Fantasy
1905,Fantasy
1906,Drama
1907,Comedy
1910,Adventure
1911,Comedy
1913,Action
1914,Adventure
1915,Action
1919,Adventure
1920,Action
1921,Action
1922,Action
1923,Action
1924,Action
1925,Action
1929,Action
1935,Mystery
1938,Action
1941,Adventure
1942,Adventure
1943,Avant Garde
1944,Adventure
1946,Adventure
1951,Adventure
1952,Action
1954,Adventure
1956,Action
1957,Adventure
1959,Action
1960,Comedy
1961,Adventure
1962,Action
1964,Adventure
1965,Drama
1967,Drama
1968,Drama
1969,Drama
1972,Action
1974,Drama
1977,Action
1978,Action
1980,Comedy
1981,Mystery
1988,Action
1994,Adventure
1996,Comedy
1999,Drama
2000,Comedy
2001,Adventure
2004,Comedy
2006,Adventure
2008,Comedy
2009,Comedy
2010,Action
2011,Action
2012,Comedy
2013,Action
2014,Action
2016,Drama
2017,Drama
2018,Horror
2020,Comedy
2025,Action
2026,Action
2027,Drama
2029,Drama
2030,Adventure
2031,Action
2032,Action
2034,Comedy
2035,Drama
2036,Adventure
2037,Comedy
2041,Comedy
2042,Drama
2043,Action
2044,Comedy
2045,Comedy
2046,Comedy
2050,Comedy
2052,Romance
2055,Adventure
2059,Comedy
2060,Adventure
2061,Action
2062,Action
2067,Comedy
2068,Adventure
2071,Drama
2074,Adventure
2075,Adventure
2084,Adventure
2085,Adventure
2086,Adventure
2087,Comedy
2089,Adventure
2090,Adventure
2097,Action
2098,Comedy
2099,Adventure
2100,Adventure
2102,Adventure
2104,Comedy
2105,Drama
2107,Action
2108,Action
2109,Adventure
2110,Adventure
2111,Action
2113,Action
2114,Action
2123,Action
2125,Action
2126,Action
2127,Adventure
2128,Adventure
2129,Drama
2130,Action
2131,Comedy
2132,Comedy
2133,Drama
2141,Adventure
2142,Adventure
2143,Action
2144,Action
2150,Adventure
2151,Adventure
2152,Comedy
2154,Action
2156,Action
2158,Action
2161,Action
2164,Adventure
2165,Comedy
2167,Drama
2168,Adventure
2170,Romance
2171,Adventure
2172,Comedy
2174,Action
2175,Adventure
2178,Action
2180,Comedy
2182,Fantasy
2193,Adventure
2196,Adventure
2198,Comedy
2199,Adventure
2200,Drama
2201,Action
2202,Action
2203,Action
2204,Mystery
2205,Comedy
2206,Comedy
2207,Adventure
2210,Drama
2214,Action
2216,Action
2217,Comedy
2221,Comedy
2222,Comedy
2223,Fantasy
2224,Romance
2228,Comedy
2229,Action
2230,Adventure
2234,Comedy
2235,Drama
2236,Drama
2237,Comedy
2243,Action
2245,Drama
2246,Horror
2251,Action
2252,Action
2253,Drama
2257,Drama
2259,Comedy
2260,Comedy
2261,Horror
2263,Adventure
2264,Adventure
2273,Drama
2277,Adventure
2279,Adventure
2281,Adventure
2283,Sci-Fi
2284,Adventure
2285,Adventure
2286,Adventure
2288,Adventure
2289,Adventure
2290,Adventure
2291,Sci-Fi
2293,Action
2294,Drama
2298,Drama
2302,Comedy
2303,Comedy
2309,Comedy
2312,Action
2313,Adventure
2314,Adventure
2319,Action
2321,Drama
2330,Adventure
2331,Action
2332,Adventure
2333,Adventure
2334,Adventure
2336,Comedy
2337,Adventure
2354,Horror
2355,Horror
2356,Horror
2361,Adventure
2363,Adventure
2367,Comedy
2369,Action
2383,Action
2385,Comedy
2386,Comedy
2387,Drama
2389,Action
2390,Action
2392,Adventure
2393,Adventure
2397,Adventure
2398,Adventure
2399,Adventure
2400,Comedy
2402,Drama
2403,Comedy
2404,Action
2407,Comedy
2408,Action
2409,Adventure
2414,Comedy
2415,Adventure
2416,Adventure
2418,Action
2419,Romance
2420,Drama
2421,Comedy
2422,Action
2427,Adventure
2428,Adventure
2429,Adventure
2449,Mystery
2450,Comedy
2451,Action
2452,Action
2454,Comedy
2456,Adventure
2458,Comedy
2459,Comedy
2460,Comedy
2463,Action
2464,Adventure
2468,Drama
2470,Action
2471,Adventure
2472,Action
2474,Adventure
2484,Adventure
2485,Comedy
2486,Comedy
2487,Adventure
2488,Adventure
2489,Comedy
2490,Comedy
2491,Drama
2492,Drama
2493,Drama
2494,Comedy
2497,Adventure
2501,Adventure
2503,Adventure
2511,Action
2512,Adventure
2513,Adventure
2514,Adventure
2515,Adventure
2517,Drama
2520,Comedy
2523,Adventure
2526,Comedy
2534,Drama
2535,Adventure
2542,Drama
2543,Adventure
2544,Adventure
2545,Adventure
2556,Adventure
2557,Drama
2559,Adventure
2560,Action
2561,Action
2562,Drama
2563,Sci-Fi
2564,Comedy
2569,Adventure
2571,Adventure
2572,Adventure
2573,Adventure
2577,Adventure
2578,Adventure
2579,Adventure
2580,Avant Garde
2581,Drama
2582,Drama
2583,Drama
2584,Drama
2585,Drama
2586,Drama
2589,Action
2593,Action
2595,Drama
2596,Mystery
2597,Adventure
2598,Adventure
2602,Comedy
2603,Action
2606,Action
2609,Drama
2613,Adventure
2614,Adventure
2615,Comedy
2618,Adventure
2625,Comedy
2629,Comedy
2630,Comedy
2631,Comedy
2633,Adventure
2634,Comedy
2645,Adventure
2648,Comedy
2649,Comedy
2650,Adventure
2651,Comedy
2652,Comedy
2653,Adventure
2654,Adventure
2655,Adventure
2656,Adventure
2657,Adventure
2658,Adventure
2661,Adventure
2662,Adventure
2664,Adventure
2665,Adventure
2666,Adventure
2668,Adventure
2669,Fantasy
2670,Adventure
2673,Adventure
2674,Adventure
2676,Adventure
2677,Adventure
2678,Adventure
2683,Action
2684,Sci-Fi
2685,Action
2686,Adventure
2687,Comedy
2688,Action
2692,Action
2694,Action
2695,Adventure
2696,Action
2697,Action
2698,Action
2699,Action
2700,Action
2713,Adventure
2717,Action
2718,Adventure
2722,Action
2723,Comedy
2724,Adventure
2725,Comedy
2726,Action
2732,Comedy
2736,Comedy
2740,Action
2741,Action
2745,Action
2746,Action
2747,Action
2748,Comedy
2751,Adventure
2756,Drama
2757,Action
2758,Sci-Fi
2759,Drama
2761,Drama
2762,Action
2766,Adventure
2769,Action
2770,Action
2771,Comedy
2772,Action
2783,Adventure
2784,Comedy
2786,Action
2787,Action
2789,Adventure
2791,Action
2793,Adventure
2795,Drama
2799,Adventure
2800,Drama
2801,Drama
2802,Drama
2804,Adventure
2805,Comedy
2806,Adventure
2808,Action
2809,Adventure
2811,Adventure
2813,Adventure
2816,Adventure
2817,Adventure
2818,Comedy
2819,Action
2820,Action
2823,Comedy
2825,Adventure
2826,Adventure
2828,Adventure
2829,Adventure
2831,Adventure
2832,Adventure
2834,Fantasy
2835,Adventure
2836,Adventure
2842,Adventure
2847,Action
2848,Adventure
2851,Action
2881,Action
2882,Adventure
2884,Action
2889,Action
2890,Adventure
2895,Adventure
2901,Action
2903,Action
2904,Drama
2905,Action
2907,Comedy
2911,Drama
2913,Adventure
2920,Drama
2921,Drama
2922,Drama
2924,Drama
2926,Drama
2927,Drama
2928,Adventure
2929,Adventure
2931,Mystery
2933,Action
2951,Comedy
2952,Action
2954,Comedy
2961,Action
2962,Adventure
2964,Drama
2965,Mystery
2966,Adventure
2970,Action
2971,Adventure
2973,Fantasy
2978,Adventure
2980,Adventure
2985,Comedy
2986,Comedy
2987,Adventure
2993,Comedy
2994,Supernatural
2997,Drama
2998,Drama
3000,Action
3001,Comedy
3003,Drama
3005,Action
3008,Adventure
3009,Drama
3014,Action
3015,Action
3016,Action
3019,Action
3021,Action
3022,Action
3023,Comedy
3024,Action
3027,Action
3028,Action
3031,Adventure
3032,Adventure
3033,Adventure
3035,Action
3036,Action
3037,Comedy
3038,Adventure
3043,Fantasy
3044,Action
3054,Action
3057,Boys Love
3059,Adventure
3061,Adventure
3065,Action
3067,Action
3069,Action
3071,Action
3072,Action
3075,Adventure
3077,Comedy
3081,Romance
3085,Comedy
3086,Action
3087,Action
3088,Drama
3089,Drama
3090,Comedy
3091,Comedy
3092,Boys Love
3101,Adventure
3114,Adventure
3115,Action
3121,Comedy
3125,Comedy
3129,Comedy
3130,Comedy
3135,Adventure
3137,Adventure
3138,Comedy
3146,Adventure
3147,Action
3151,Adventure
3153,Action
3154,Action
3159,Comedy
3162,Adventure
